deputy_id,name,party_classification,party_score,state,photo_url,legislation_id,attendance_count,justified_absence_count,unjustified_absence_count,total_days,attendance_rate,taxi_toll_parking,flight_passages,office_maintenance,fuel_lubricants,total_expenses,taxi_toll_parking_count,flight_passages_count,office_maintenance_count,fuel_lubricants_count,total_documents,proposition_count,party,agenda_category,ideology,populist_elements,cost_per_proposition,mean_expend_per_document,share_taxi_toll_parking,share_flight_passages,share_office_maintenance,share_fuel_lubricants
204395,Pedro Lupion,Centro-direita,6,PR,https://www.camara.leg.br/internet/deputado/bandep/204395.jpg,57,71,5,11,87,0.816,0.0,52804.28999999998,0.0,0.0,280667.68999999994,0.0,46.0,0.0,0.0,100.0,277,PP,social,progressive,0.7,1013.2,2806.7,0.0,0.188,0.0,0.0
220008,Eliza Virgínia,Centro-direita,6,PB,https://www.camara.leg.br/internet/deputado/bandep/220008.jpg,57,24,0,1,25,0.276,0.0,42619.560000000005,36000.0,0.0,118076.03,0.0,33.0,3.0,0.0,104.0,38,PP,economic,moderate_conservative,0.3,3107.3,1135.3,0.0,0.361,0.305,0.0
178963,Covatti Filho,Centro-direita,6,RS,https://www.camara.leg.br/internet/deputado/bandep/178963.jpg,57,79,4,4,87,0.908,0.0,18251.06,48179.490000000005,0.0,270537.98,0.0,21.0,34.0,0.0,118.0,147,PP,social,progressive,0.7,1840.4,2292.7,0.0,0.067,0.178,0.0
228797,Júlio Oliveira,Centro-direita,6,TO,https://www.camara.leg.br/internet/deputado/bandep/228797.jpg,57,32,0,0,32,0.368,0.0,7988.55,1760.0,0.0,62748.55,0.0,11.0,2.0,0.0,15.0,30,PP,environmental,progressive,0.7,2091.6,4183.2,0.0,0.127,0.028,0.0
220582,Daniel Barbosa,Centro-direita,6,AL,https://www.camara.leg.br/internet/deputado/bandep/220582.jpg,57,74,4,9,87,0.851,0.0,45346.840000000004,214.1,0.0,375122.86,0.0,37.0,1.0,0.0,157.0,49,PP,social,progressive,0.7,7655.6,2389.3,0.0,0.121,0.001,0.0
178934,Toninho Wandscheer,Direita,7,PR,https://www.camara.leg.br/internet/deputado/bandep/178934.jpg,57,85,2,0,87,0.977,0.0,36994.08,22733.93,0.0,267694.91000000003,0.0,55.0,41.0,0.0,137.0,109,PROS,economic,centrist,0.3,2455.9,1954.0,0.0,0.138,0.085,0.0
160518,Weliton Prado,Direita,7,MG,https://www.camara.leg.br/internet/deputado/bandep/160518.jpg,57,84,1,2,87,0.966,60.0,16571.119999999995,18116.55,0.0,231739.22999999998,1.0,14.0,7.0,0.0,60.0,95,PROS,social,progressive,0.8,2439.4,3862.3,0.0,0.072,0.078,0.0
220607,Max Lemos,Direita,7,RJ,https://www.camara.leg.br/internet/deputado/bandep/220607.jpg,57,87,0,0,87,1.0,0.0,21481.06,37631.22,0.0,251192.96000000002,0.0,30.0,6.0,0.0,144.0,79,PROS,social,moderate_progressive,0.5,3179.7,1744.4,0.0,0.086,0.15,0.0
220605,Bandeira de Mello,Centro,4,RJ,https://www.camara.leg.br/internet/deputado/bandep/220605.jpg,57,84,3,0,87,0.966,4183.479999999999,45725.23999999998,43568.77,0.0,198852.58999999997,84.0,40.0,23.0,0.0,316.0,65,PSB,social,progressive,0.7,3059.3,629.3,0.021,0.23,0.219,0.0
220663,Eriberto Medeiros,Centro,4,PE,https://www.camara.leg.br/internet/deputado/bandep/220663.jpg,57,86,1,0,87,0.989,0.0,22595.64,41510.340000000004,0.0,222946.00000000003,0.0,48.0,13.0,0.0,129.0,66,PSB,social,progressive,0.2,3378.0,1728.3,0.0,0.101,0.186,0.0
160517,Paulo Foletto,Centro,4,ES,https://www.camara.leg.br/internet/deputado/bandep/160517.jpg,57,61,24,2,87,0.701,0.0,24787.33,41000.939999999995,0.0,263628.62,0.0,30.0,26.0,0.0,103.0,60,PSB,social,progressive,0.8,4393.8,2559.5,0.0,0.094,0.156,0.0
220664,Guilherme Uchoa,Centro,4,PE,https://www.camara.leg.br/internet/deputado/bandep/220664.jpg,57,81,5,1,87,0.931,0.0,49308.659999999996,538.1999999999999,0.0,403408.05,0.0,62.0,2.0,0.0,145.0,23,PSB,social,progressive,0.7,17539.5,2782.1,0.0,0.122,0.001,0.0
160548,Jonas Donizette,Centro,4,SP,https://www.camara.leg.br/internet/deputado/bandep/160548.jpg,57,84,3,0,87,0.966,1755.6599999999994,-371.7099999999996,16675.29,0.0,236158.55999999997,71.0,13.0,27.0,0.0,328.0,154,PSB,social,progressive,0.7,1533.5,720.0,0.007,-0.002,0.071,0.0
220686,Duarte,Centro,4,MA,https://www.camara.leg.br/internet/deputado/bandep/220686.jpg,57,87,0,0,87,1.0,1998.02,32022.41,8639.74,0.0,213207.34,53.0,46.0,7.0,0.0,127.0,410,PSB,social,progressive,0.8,520.0,1678.8,0.009,0.15,0.041,0.0
220667,Pedro Campos,Centro,4,PE,https://www.camara.leg.br/internet/deputado/bandep/220667.jpg,57,77,8,2,87,0.885,0.0,39368.98,40061.219999999994,0.0,255365.21000000002,0.0,46.0,38.0,0.0,248.0,202,PSB,social,progressive,0.5,1264.2,1029.7,0.0,0.154,0.157,0.0
