deputy_id,year,timestamp,presencas,ausencias_justificadas,ausencias_nao_justificadas,total_dias,taxa_presenca
178829,2024,2025-02-19 11:42:43.361114,87,0,0,87,100.0
229069,2024,2025-02-19 11:42:43.361114,24,0,0,24,100.0
229106,2024,2025-02-19 11:42:43.361114,23,0,0,23,100.0
213762,2024,2025-02-19 11:42:43.361114,0,0,0,0,
204507,2024,2025-02-19 11:42:43.361114,84,3,0,87,96.55
204361,2024,2025-02-19 11:42:43.361114,57,4,5,66,86.36
178962,2024,2025-02-19 11:42:43.361114,4,0,0,4,100.0
178993,2024,2025-02-19 11:42:43.361114,85,0,2,87,97.7
204460,2024,2025-02-19 11:42:43.361114,50,4,0,54,92.59
74262,2024,2025-02-19 11:42:43.361114,79,8,0,87,90.8
204426,2024,2025-02-19 11:42:43.361114,87,0,0,87,100.0
141398,2024,2025-02-19 11:42:43.361114,84,2,1,87,96.55
164360,2024,2025-02-19 11:42:43.361114,50,2,1,53,94.34
220704,2024,2025-02-19 11:42:43.361114,78,7,2,87,89.66
204369,2024,2025-02-19 11:42:43.361114,85,1,1,87,97.7
220699,2024,2025-02-19 11:42:43.361114,82,5,0,87,94.25
206018,2024,2025-02-19 11:42:43.361114,72,10,5,87,82.76
178876,2024,2025-02-19 11:42:43.361114,78,9,0,87,89.66
204488,2024,2025-02-19 11:42:43.361114,72,0,9,81,88.89
73441,2024,2025-02-19 11:42:43.361114,86,1,0,87,98.85
204496,2024,2025-02-19 11:45:00.071742,3,0,0,3,100.0
204504,2024,2025-02-19 11:45:00.071742,80,0,7,87,91.95
205476,2024,2025-02-19 11:45:00.071742,82,0,1,83,98.8
74171,2024,2025-02-19 11:45:00.071742,87,0,0,87,100.0
204476,2024,2025-02-19 11:45:00.071742,12,2,73,87,13.79
204462,2024,2025-02-19 11:45:00.071742,85,1,1,87,97.7
220665,2024,2025-02-19 11:45:00.071742,58,2,2,62,93.55
74537,2024,2025-02-19 11:45:00.071742,81,6,0,87,93.1
141408,2024,2025-02-19 11:45:00.071742,81,5,1,87,93.1
88256,2024,2025-02-19 11:45:00.071742,78,8,1,87,89.66
98148,2024,2025-02-19 11:45:00.071742,87,0,0,87,100.0
220594,2024,2025-02-19 11:45:00.071742,87,0,0,87,100.0
204378,2024,2025-02-19 11:45:00.071742,85,0,2,87,97.7
220595,2024,2025-02-19 11:45:00.071742,75,12,0,87,86.21
220666,2024,2025-02-19 11:45:00.071742,87,0,0,87,100.0
222142,2024,2025-02-19 11:45:00.071742,47,0,0,47,100.0
220590,2024,2025-02-19 11:45:00.071742,84,3,0,87,96.55
178963,2024,2025-02-19 11:45:00.071742,79,4,4,87,90.8
220608,2024,2025-02-19 11:45:00.071742,87,0,0,87,100.0
204355,2024,2025-02-19 11:45:00.071742,83,2,2,87,95.4
141411,2024,2025-02-19 11:45:00.071742,79,8,0,87,90.8
220555,2024,2025-02-19 11:45:00.071742,80,7,0,87,91.95
220692,2024,2025-02-19 11:45:00.071742,77,5,5,87,88.51
74467,2024,2025-02-19 11:45:00.071742,77,6,4,87,88.51
220629,2024,2025-02-19 11:45:00.071742,83,1,3,87,95.4
220603,2024,2025-02-19 11:45:00.071742,74,13,0,87,85.06
220571,2024,2025-02-19 11:45:00.071742,87,0,0,87,100.0
74060,2024,2025-02-19 11:45:00.071742,86,0,1,87,98.85
220582,2024,2025-02-19 11:45:00.071742,74,4,9,87,85.06
204367,2024,2025-02-19 11:45:00.071742,79,4,4,87,90.8
228941,2024,2025-02-19 11:45:00.071742,25,0,1,26,96.15
220614,2024,2025-02-19 11:45:00.071742,30,0,0,30,100.0
204409,2024,2025-02-19 11:45:00.071742,86,0,1,87,98.85
204459,2024,2025-02-19 11:45:00.071742,83,0,4,87,95.4
220557,2024,2025-02-19 11:45:00.071742,86,1,0,87,98.85
62881,2024,2025-02-19 11:45:00.071742,79,5,3,87,90.8
160552,2024,2025-02-19 11:45:00.071742,14,5,4,23,60.87
116379,2024,2025-02-19 11:45:00.071742,54,1,3,58,93.1
204511,2024,2025-02-19 11:45:00.071742,77,8,2,87,88.51
220659,2024,2025-02-19 11:45:00.071742,83,3,1,87,95.4
220539,2024,2025-02-19 11:45:00.071742,77,8,2,87,88.51
220565,2024,2025-02-19 11:45:00.071742,80,7,0,87,91.95
220625,2024,2025-02-19 11:45:00.071742,71,16,0,87,81.61
220561,2024,2025-02-19 11:45:00.071742,86,1,0,87,98.85
220642,2024,2025-02-19 11:45:00.071742,40,0,0,40,100.0
220673,2024,2025-02-19 11:45:00.071742,86,0,1,87,98.85
220649,2024,2025-02-19 11:45:00.071742,77,10,0,87,88.51
178908,2024,2025-02-19 11:45:00.071742,81,1,5,87,93.1
220583,2024,2025-02-19 11:45:00.071742,87,0,0,87,100.0
204512,2024,2025-02-19 11:45:00.071742,81,6,0,87,93.1
220701,2024,2025-02-19 11:47:14.615543,82,5,0,87,94.25
220652,2024,2025-02-19 11:47:14.615543,87,0,0,87,100.0
220654,2024,2025-02-19 11:47:14.615543,87,0,0,87,100.0
220619,2024,2025-02-19 11:47:14.615543,86,0,1,87,98.85
228272,2024,2025-02-19 11:47:14.615543,28,2,1,31,90.32
220705,2024,2025-02-19 11:47:14.615543,0,0,0,0,
220553,2024,2025-02-19 11:47:14.615543,81,2,4,87,93.1
220689,2024,2025-02-19 11:47:14.615543,57,9,5,71,80.28
160588,2024,2025-02-19 11:47:14.615543,80,2,5,87,91.95
220691,2024,2025-02-19 11:47:14.615543,82,4,1,87,94.25
178929,2024,2025-02-19 11:47:14.615543,80,7,0,87,91.95
73768,2024,2025-02-19 11:47:14.615543,86,0,1,87,98.85
220671,2024,2025-02-19 11:47:14.615543,84,2,1,87,96.55
160599,2024,2025-02-19 11:47:14.615543,80,7,0,87,91.95
220602,2024,2025-02-19 11:47:14.615543,86,1,0,87,98.85
143632,2024,2025-02-19 11:47:14.615543,65,22,0,87,74.71
160758,2024,2025-02-19 11:47:14.615543,82,4,1,87,94.25
220573,2024,2025-02-19 11:47:14.615543,80,4,3,87,91.95
227433,2024,2025-02-19 11:47:14.615543,85,0,1,86,98.84
204450,2024,2025-02-19 11:47:14.615543,46,41,0,87,52.87
221339,2024,2025-02-19 11:47:14.615543,80,2,5,87,91.95
227401,2024,2025-02-19 11:47:14.615543,16,1,1,18,88.89
227991,2024,2025-02-19 11:47:14.615543,32,0,0,32,100.0
220610,2024,2025-02-19 11:47:14.615543,80,7,0,87,91.95
220688,2024,2025-02-19 11:47:14.615543,87,0,0,87,100.0
204518,2024,2025-02-19 11:47:14.615543,81,4,2,87,93.1
212625,2024,2025-02-19 11:47:14.615543,23,0,1,24,95.83
220570,2024,2025-02-19 11:47:14.615543,77,10,0,87,88.51
204481,2024,2025-02-19 11:47:14.615543,84,1,2,87,96.55
204351,2024,2025-02-19 11:47:14.615543,84,3,0,87,96.55
228616,2024,2025-02-19 11:47:14.615543,31,0,1,32,96.88
220528,2024,2025-02-19 11:47:14.615543,78,4,5,87,89.66
204412,2024,2025-02-19 11:47:14.615543,83,4,0,87,95.4
220674,2024,2025-02-19 11:47:14.615543,70,14,3,87,80.46
230088,2024,2025-02-19 11:47:14.615543,26,2,0,28,92.86
220686,2024,2025-02-19 11:47:14.615543,87,0,0,87,100.0
227800,2024,2025-02-19 11:47:14.615543,34,1,0,35,97.14
220540,2024,2025-02-19 11:47:14.615543,74,9,4,87,85.06
220623,2024,2025-02-19 11:47:14.615543,70,17,0,87,80.46
204541,2024,2025-02-19 11:47:14.615543,84,0,3,87,96.55
92346,2024,2025-02-19 11:47:14.615543,72,13,2,87,82.76
141421,2024,2025-02-19 11:47:14.615543,76,10,1,87,87.36
220589,2024,2025-02-19 11:47:14.615543,66,3,0,69,95.65
74075,2024,2025-02-19 11:47:14.615543,62,22,3,87,71.26
204364,2024,2025-02-19 11:47:14.615543,59,0,2,61,96.72
226553,2024,2025-02-19 11:47:14.615543,0,0,0,0,
229585,2024,2025-02-19 11:47:14.615543,24,0,1,25,96.0
220008,2024,2025-02-19 11:47:14.615543,24,0,1,25,96.0
178854,2024,2025-02-19 11:47:14.615543,69,18,0,87,79.31
218086,2024,2025-02-19 11:47:14.615543,83,4,0,87,95.4
198783,2024,2025-02-19 11:49:30.28591,80,0,7,87,91.95
161550,2024,2025-02-19 11:49:30.28591,76,11,0,87,87.36
225730,2024,2025-02-19 11:49:30.28591,0,0,0,0,
230765,2024,2025-02-19 11:49:30.28591,0,0,0,0,
132504,2024,2025-02-19 11:49:30.28591,0,0,0,0,
220663,2024,2025-02-19 11:49:30.28591,86,1,0,87,98.85
220645,2024,2025-02-19 11:49:30.28591,67,20,0,87,77.01
160575,2024,2025-02-19 11:49:30.28591,85,2,0,87,97.7
160640,2024,2025-02-19 11:49:30.28591,80,7,0,87,91.95
204482,2024,2025-02-19 11:49:30.28591,47,1,3,51,92.16
74454,2024,2025-02-19 11:49:30.28591,86,0,1,87,98.85
178871,2024,2025-02-19 11:49:30.28591,83,3,1,87,95.4
178905,2024,2025-02-19 11:49:30.28591,1,0,0,1,100.0
68720,2024,2025-02-19 11:49:30.28591,22,0,0,22,100.0
220681,2024,2025-02-19 11:49:30.28591,53,1,9,63,84.13
171623,2024,2025-02-19 11:49:30.28591,6,0,2,8,75.0
204368,2024,2025-02-19 11:49:30.28591,85,2,0,87,97.7
220653,2024,2025-02-19 11:49:30.28591,86,0,1,87,98.85
66828,2024,2025-02-19 11:49:30.28591,77,9,1,87,88.51
220712,2024,2025-02-19 11:49:30.28591,16,3,2,21,76.19
